reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEhZuqSqqWnaKRgv-9ABYdajFUB0WugPGh-SG-fgH355YH_t7J2q4xYo6ZzN3Mc7iSrrTV6ke8hG_fl4Q,Eric Tie,https://play-lh.googleusercontent.com/a-/AOh14GiGET2XHTvsSEsA07ZBPu2s1E6fOXd9WyT_ahChpw,I cannot open the app anymore,1,0,5.4.0.6,2020-10-27 21:24:41,,,newest,com.anydo
gp:AOqpTOH0WP4IQKBZ2LrdNmFy_YmpPCVrV3diEU9KGm3fAX6VG0NAZCudCQpQRRI3GLL_tr8DQzUTP1hrOYG74A,john alpha,https://play-lh.googleusercontent.com/a-/AOh14GjpfgjOEbD3brypMeMT3KvhYlWG_nO2bMnMIfY9,I have been begging for a refund from this app for over a month and nobody is replying me,1,0,,2020-10-27 14:03:28,"Please note that from checking our records, your email has been answered, and there was no subscription registered under this address. Please check which email address you are using under you app settings- profile, and let us know so we can look further into this.",2020-10-27 15:05:52,newest,com.anydo
gp:AOqpTOEMCkJB8Iq1p-r9dPwnSYadA5BkPWTf32Z1azuuTvqA9KWdTQqNNXWZsJEhmSuYUY_LmL-OdUIl4j70wg,Sudhakar .S,https://play-lh.googleusercontent.com/a-/AOh14GidHUHTvHZTXBX36CdxFeccVR2IasC1MHUHXLuFpg,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,1,0,,2020-10-27 08:18:40,,,newest,com.anydo
gp:AOqpTOGFrUWuKGycpje8kszj3uwHN6tU_fd4gLVFy9z7hfGM7Gan22TJrN89NmGVEdj5o4U6W4I6slbTx8OsQw,SKGflorida@bellsouth.net DAVID S,https://play-lh.googleusercontent.com/-75aK0WFniac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_nhfTJ2FT63nZ53feI1vVx58DJg/photo.jpg,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! 🤤🤤🤤",1,0,,2020-10-26 13:28:07,"What do you find troublesome about the update? We'd love to get your feedback, by writing to us at https://www.any.do/contact_form. We're constantly trying to provide the best possible app for our users, and feedback like yours help us do so.",2020-10-26 14:58:29,newest,com.anydo
gp:AOqpTOHls7DW8wmDFzTkHwxuqFkdNQtKHmO6Pt9jhZEQ0Q2rDzcc9WMABIXZNu0pIJOhiFrA4uhMOLq1ZIWKQA,Louann Stoker,https://play-lh.googleusercontent.com/-pBcY_Z-qfB4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclb31oz9DIIm_ibRaVH8B2uF2SVZw/photo.jpg,Dan Birthday Oct 28,1,0,5.6.0.7,2020-10-26 06:10:50,,,newest,com.anydo
gp:AOqpTOEvElPsBa6k8rLDmk-WrEoJea98KUrIGYWodJeMVupSbNMymunFaONx09WflbZ3CLazVJJDAAp3dVvd1g,Jon Clemens,https://play-lh.googleusercontent.com/-q6L1fx0d77w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDlzv-eKozESInr3I7zPC0RW-G8w/photo.jpg,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,1,1,5.6.0.7,2020-10-26 05:04:20,"Please note that in order to sort the lists by timeline, you can simply go to the ""All Tasks"" view, and change the sorting from 'List' to 'Time' under the menu on the top right corner :) If you have any further questions, please contact us at https://www.any.do/contact_form.",2020-10-26 14:56:25,newest,com.anydo
gp:AOqpTOGHb-APKKMNFyL1OwuGq1AGW6bQp5aYYxSHvJxFL6ur8n__5GqPwFPNb10urenFAS-p4fxP4490-COB8A,Gale W,https://play-lh.googleusercontent.com/a-/AOh14GgZuh05SN1HwBhxQRWLcGY36N1xKg3m_ABR5tJV3g,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",1,0,5.6.0.6,2020-10-25 23:40:46,"Sorry about that. We are not aware of any issues with display of Grocey lists. Kindly contact us at- https://www.any.do/contact_form, with any relevant information (as explained here- https://support.any.do/sending-files-to-support/), and we will be happy to look into it for you.",2020-10-26 14:53:42,newest,com.anydo
gp:AOqpTOEcxvv_c0CK3G5tHjxXsGSjbzD65OQ3og02p-q1rR1qyBmbJr6yE585uRIZ9xQPOMiP6V6LOdVmiJm3aw,No One,https://play-lh.googleusercontent.com/a-/AOh14GhY0I-W2AG_j-FF1wlpsupq36rn79kOpyllY2gMVw,"Reset my free trial, new phone I'd like to see if it's better.",1,0,5.5.0.8,2020-10-25 19:18:13,We have an extensive Help Center detailing how to utilize the features -https://support.any.do/. You are also welcome to contact us at https://www.any.do/contact_form with any questions. We'll be happy for an updated review once you get to know the app better :),2020-10-26 14:43:36,newest,com.anydo
gp:AOqpTOHVgr7_qOhORsfPwnVCqX-n98dJ1Ksrps6q52pgv44BNu_oSk1oprSIE9CwfYefD-kFIRjzGo4F4CRMYQ,I Dewa Gede Nopi Ariana,https://play-lh.googleusercontent.com/a-/AOh14Gii4hPsQ5dLH8N6-qXyDMX-Z8nlTMjXmyUkGOTZIA,How do to stop monthly payment because i don't use this app anymore,1,0,5.6.0.7,2020-10-25 10:09:00,"Please note that you may cancel your subscription plan, in accordance with our TOS, per the instructions on our Help Center- https://support.any.do/cancellations-refunds/. For further assistance, feel free to contact us at https://www.any.do/contact_form",2020-10-26 14:39:59,newest,com.anydo
gp:AOqpTOHQ_paQ_ffWsMqGOWmMsPxs-pBkBgR_3H63WJvyqREYhe8SB2lwPZ9MbACWyyeSIEpLfak0sUQlcpCAwg,John Riddle,https://play-lh.googleusercontent.com/a-/AOh14GiCIKp9_retaALDg18-r7prISyvBrhEhUfDn44-,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise 😩 I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again 😑",1,1,5.6.0.7,2020-10-23 03:15:01,"We are unaware of any issues with the app not closing correctly, so that's odd. Please send us a bug report via your app Settings - Support, we will be happy to get to the bottom of this for you.",2020-10-25 17:11:06,newest,com.anydo
